id;BSSID;SSID;AvgRSSI;LocationID
1558;a4:6c:2a:d4:bf:1f;LU-Guest;-83;29
1559;a4:6c:2a:d4:bf:1d;eduroam;-79;29
1560;a4:6c:2a:d4:bf:1e;LakeheadU;-79;29
1561;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-81;29
1562;a4:6c:2a:d4:bf:1c;LU-Events;-82;29
1563;80:e0:1d:e6:79:d2;eduroam;-57;29
1564;80:e0:1d:e6:79:d1;LakeheadU;-59;29
1565;80:e0:1d:e6:79:d0;LU-Guest;-57;29
1566;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-57;29
1567;80:e0:1d:e6:79:d3;LU-Events;-57;29
1568;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-62;29
1569;80:e0:1d:f6:a5:11;LakeheadU;-78;29
1570;80:e0:1d:f6:a5:12;eduroam;-78;29
1571;80:e0:1d:f6:a5:10;LU-Guest;-77;29
1572;80:e0:1d:e6:79:df;LU-Guest;-62;29
1573;80:e0:1d:e6:79:de;LakeheadU;-90;29
1574;80:e0:1d:e6:79:dd;eduroam;-62;29
1575;80:e0:1d:e6:79:dc;LU-Events;-62;29
1576;a2:53:22:40:4f:7b;NOSMSecure;-88;29
1577;a2:53:22:40:4f:7a;NOSMSecure;-55;29
1578;80:e0:1d:ac:8b:02;eduroam;-76;29
1579;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-85;29
1580;80:e0:1d:ee:3f:6d;LU-Events;-83;29
1581;80:e0:1d:ee:3f:6f;LakeheadU;-85;29
1582;80:e0:1d:f6:a4:d3;LU-Events;-83;29
1583;80:e0:1d:f6:a5:1b;Free Tbaytel WiFi;-92;29
1584;9c:53:22:40:4e:05;TBAYTech;-91;29
1585;80:e0:1d:f6:a5:1f;LU-Guest;-93;29
1586;80:e0:1d:f6:a5:1c;LU-Events;-92;29
1587;9c:53:22:40:4e:04;TBAYTech;-80;29
1588;80:e0:1d:f6:a5:1d;eduroam;-92;29
1589;aa:53:22:40:4e:05;NOSMConnect;-91;29
1590;aa:53:22:40:4e:04;NOSMConnect;-81;29
1591;80:e0:1d:ac:8b:0e;LakeheadU;-88;29
1592;80:e0:1d:ac:8b:0d;eduroam;-89;29
1593;82:f2:e0:d1:f9:74;portthru;-87;29
1594;80:e0:1d:ac:8b:0c;LU-Events;-89;29
1595;80:e0:1d:ac:8b:0b;Free Tbaytel WiFi;-90;29
1596;6c:5a:b0:3d:73:c0;Quanser_UVS-5G;-87;29
1597;a6:53:22:40:4e:05;eduroam;-92;29
1598;a6:53:22:40:4e:04;eduroam;-81;29
1599;80:e0:1d:ac:8b:0f;LU-Guest;-89;29
1600;a2:53:22:40:4e:05;NOSMSecure;-92;29
1601;7e:a7:b0:c5:e9:67;DIRECT-cfLexmark Cheetah M-67e9;-80;29
1602;9c:53:22:40:4f:7b;TBAYTech;-82;30
1603;9c:53:22:40:4f:7a;TBAYTech;-61;30
1604;ac:7a:56:c8:62:0f;LakeheadU;-56;30
1605;ac:7a:56:c8:62:0e;LU-Events;-56;30
1606;a6:53:22:40:4f:7b;eduroam;-82;30
1607;ac:7a:56:c8:62:0c;LU-Guest;-56;30
1608;a6:53:22:40:4f:7a;eduroam;-59;30
1609;9c:53:22:40:4f:80;TBAYTech;-89;30
1610;ac:7a:56:c8:62:00;LakeheadU;-53;30
1611;ac:7a:56:c8:62:01;LU-Events;-53;30
1612;ac:7a:56:c8:62:03;LU-Guest;-53;30
1613;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-62;30
1614;ac:7a:56:c8:62:07;eduroam;-56;30
1615;d8:b1:90:df:9f:e4;Free Tbaytel WiFi;-78;30
1616;d8:b1:90:df:9f:e3;LU-Events;-77;30
1617;d8:b1:90:df:9f:e2;eduroam;-78;30
1618;a4:6c:2a:e0:20:01;LakeheadU;-78;30
1619;a4:6c:2a:e0:20:00;LU-Guest;-78;30
1620;a4:6c:2a:e0:20:03;LU-Events;-76;30
1621;a4:6c:2a:e0:20:02;eduroam;-71;30
1622;a4:6c:2a:e0:20:04;Free Tbaytel WiFi;-77;30
1623;d8:b1:90:df:9f:e1;LakeheadU;-78;30
1624;d8:b1:90:df:9f:e0;LU-Guest;-77;30
1625;ae:53:22:40:4f:7a;NOSMConnect24;-59;30
1626;aa:53:22:40:4f:7a;NOSMConnect;-60;30
1627;aa:53:22:40:4f:7b;NOSMConnect;-82;30
1628;a4:6c:2a:d4:bf:1f;LU-Guest;-84;30
1629;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-84;30
1630;a4:6c:2a:d4:bf:1c;LU-Events;-84;30
1631;80:e0:1d:e6:79:d2;eduroam;-56;30
1632;80:e0:1d:e6:79:d1;LakeheadU;-55;30
1633;80:e0:1d:e6:79:d0;LU-Guest;-52;30
1634;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-51;30
1635;80:e0:1d:e6:79:d3;LU-Events;-55;30
1636;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-50;30
1637;80:e0:1d:f6:a5:11;LakeheadU;-78;30
1638;80:e0:1d:f6:a5:12;eduroam;-78;30
1639;80:e0:1d:f6:a5:10;LU-Guest;-77;30
1640;80:e0:1d:e6:79:df;LU-Guest;-50;30
1641;80:e0:1d:e6:79:de;LakeheadU;-51;30
1642;80:e0:1d:e6:79:dd;eduroam;-49;30
1643;80:e0:1d:e6:79:dc;LU-Events;-51;30
1644;a2:53:22:40:4f:7b;NOSMSecure;-81;30
1645;a2:53:22:40:4f:7a;NOSMSecure;-63;30
1646;80:e0:1d:ac:8b:03;LU-Events;-75;30
1647;80:e0:1d:ac:8b:02;eduroam;-76;30
1648;80:e0:1d:ac:8b:01;LakeheadU;-76;30
1649;80:e0:1d:ac:8b:00;LU-Guest;-83;30
1650;80:e0:1d:ee:3f:6f;LakeheadU;-91;30
1651;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-85;30
1652;80:e0:1d:ee:3f:6b;eduroam;-92;30
1653;80:e0:1d:f6:a4:d3;LU-Events;-83;30
1654;80:e0:1d:c2:b7:f0;LU-Guest;-85;30
1655;80:e0:1d:c2:b7:f2;eduroam;-86;30
1656;80:e0:1d:f6:a5:1b;Free Tbaytel WiFi;-93;30
1657;9c:53:22:40:4e:05;TBAYTech;-91;30
1658;80:e0:1d:f6:a5:1f;LU-Guest;-93;30
1659;80:e0:1d:f6:a5:1c;LU-Events;-92;30
1660;9c:53:22:40:4e:04;TBAYTech;-80;30
1661;80:e0:1d:f6:a5:1d;eduroam;-92;30
1662;aa:53:22:40:4e:05;NOSMConnect;-93;30
1663;aa:53:22:40:4e:04;NOSMConnect;-81;30
1664;80:e0:1d:ac:8b:0e;LakeheadU;-85;30
1665;80:e0:1d:ac:8b:0d;eduroam;-85;30
1666;80:e0:1d:ac:8b:0c;LU-Events;-84;30
1667;80:e0:1d:ac:8b:0b;Free Tbaytel WiFi;-85;30
1668;6c:5a:b0:3d:73:c0;Quanser_UVS-5G;-87;30
1669;a6:53:22:40:4e:05;eduroam;-92;30
1670;a6:53:22:40:4e:04;eduroam;-81;30
1671;80:e0:1d:ac:8b:0f;LU-Guest;-84;30
1672;a4:6c:2a:d4:bf:12;eduroam;-82;30
1673;a2:53:22:40:4e:05;NOSMSecure;-91;30
1674;7e:a7:b0:c5:e9:67;DIRECT-cfLexmark Cheetah M-67e9;-80;30
1675;9c:53:22:40:4f:7b;TBAYTech;-82;31
1676;9c:53:22:40:4f:7a;TBAYTech;-61;31
1677;ac:7a:56:c8:62:0f;LakeheadU;-56;31
1678;ac:7a:56:c8:62:0e;LU-Events;-56;31
1679;a6:53:22:40:4f:7b;eduroam;-82;31
1680;ac:7a:56:c8:62:0c;LU-Guest;-56;31
1681;a6:53:22:40:4f:7a;eduroam;-59;31
1682;ac:7a:56:c8:62:00;LakeheadU;-53;31
1683;ac:7a:56:c8:62:01;LU-Events;-53;31
1684;ac:7a:56:c8:62:03;LU-Guest;-53;31
1685;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-62;31
1686;ac:7a:56:c8:62:07;eduroam;-56;31
1687;d8:b1:90:df:9f:e4;Free Tbaytel WiFi;-78;31
1688;d8:b1:90:df:9f:e3;LU-Events;-77;31
1689;d8:b1:90:df:9f:e2;eduroam;-78;31
1690;a4:6c:2a:e0:20:01;LakeheadU;-78;31
1691;a4:6c:2a:e0:20:00;LU-Guest;-78;31
1692;a4:6c:2a:e0:20:03;LU-Events;-76;31
1693;a4:6c:2a:e0:20:04;Free Tbaytel WiFi;-77;31
1694;d8:b1:90:df:9f:e1;LakeheadU;-78;31
1695;d8:b1:90:df:9f:e0;LU-Guest;-77;31
1696;ae:53:22:40:4f:7a;NOSMConnect24;-59;31
1697;aa:53:22:40:4f:7a;NOSMConnect;-60;31
1698;aa:53:22:40:4f:7b;NOSMConnect;-82;31
1699;a4:6c:2a:d4:bf:1f;LU-Guest;-84;31
1700;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-84;31
1701;a4:6c:2a:d4:bf:1c;LU-Events;-84;31
1702;80:e0:1d:e6:79:d2;eduroam;-56;31
1703;80:e0:1d:e6:79:d1;LakeheadU;-55;31
1704;80:e0:1d:e6:79:d0;LU-Guest;-52;31
1705;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-51;31
1706;80:e0:1d:e6:79:d3;LU-Events;-55;31
1707;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-50;31
1708;80:e0:1d:e6:79:df;LU-Guest;-50;31
1709;80:e0:1d:e6:79:de;LakeheadU;-51;31
1710;80:e0:1d:e6:79:dd;eduroam;-49;31
1711;80:e0:1d:e6:79:dc;LU-Events;-51;31
1712;a2:53:22:40:4f:7b;NOSMSecure;-81;31
1713;a2:53:22:40:4f:7a;NOSMSecure;-63;31
1714;80:e0:1d:ac:8b:03;LU-Events;-75;31
1715;80:e0:1d:ac:8b:01;LakeheadU;-76;31
1716;80:e0:1d:ac:8b:00;LU-Guest;-83;31
1717;80:e0:1d:ee:3f:6f;LakeheadU;-91;31
1718;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-85;31
1719;80:e0:1d:ee:3f:6b;eduroam;-92;31
1720;80:e0:1d:c2:b7:f0;LU-Guest;-85;31
1721;80:e0:1d:c2:b7:f2;eduroam;-86;31
1722;80:e0:1d:f6:a5:1b;Free Tbaytel WiFi;-93;31
1723;9c:53:22:40:4e:05;TBAYTech;-91;31
1724;80:e0:1d:f6:a5:1c;LU-Events;-92;31
1725;aa:53:22:40:4e:05;NOSMConnect;-93;31
1726;80:e0:1d:ac:8b:0e;LakeheadU;-85;31
