id;BSSID;SSID;AvgRSSI;LocationID
120;ac:7a:56:c8:62:0c;LU-Guest;-80;2
121;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-80;2
122;ac:7a:56:c8:62:07;eduroam;-80;2
123;80:e0:1d:ee:3f:6b;eduroam;-80;2
124;a6:53:22:40:4e:04;eduroam;-81;2
125;a4:6c:2a:d4:be:30;LU-Guest;-81;2
126;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-81;2
127;80:e0:1d:ee:3f:6f;LakeheadU;-81;2
128;80:e0:1d:ee:3f:6d;LU-Events;-81;2
129;a2:53:22:40:4e:05;NOSMSecure;-82;2
130;9c:53:22:40:4e:05;TBAYTech;-82;2
131;aa:53:22:40:4e:05;NOSMConnect;-82;2
132;a4:6c:2a:d4:be:32;eduroam;-82;2
133;a4:6c:2a:d4:be:33;LU-Events;-82;2
134;80:e0:1d:ee:3f:6e;LU-Guest;-82;2
135;a6:53:22:40:4e:05;eduroam;-83;2
136;ae:53:22:40:4e:04;NOSMConnect24;-83;2
137;80:e0:1d:ee:3f:60;LakeheadU;-84;2
138;80:e0:1d:ee:3f:61;LU-Guest;-84;2
139;80:e0:1d:e6:79:dd;eduroam;-86;2
140;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-87;2
141;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-87;2
142;80:e0:1d:ee:40:50;LU-Guest;-88;2
143;80:e0:1d:ee:40:53;LU-Events;-88;2
144;80:e0:1d:e6:79:df;LU-Guest;-88;2
145;80:e0:1d:e6:79:dc;LU-Events;-88;2
146;82:f2:e0:d1:f9:74;portthru;-89;2
147;80:e0:1d:ee:40:50;LU-Guest;-83;3
148;80:e0:1d:ee:40:52;eduroam;-83;3
149;80:e0:1d:ee:40:51;LakeheadU;-82;3
150;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-81;3
151;80:e0:1d:ee:40:53;LU-Events;-82;3
152;a4:6c:2a:d4:ba:53;LU-Events;-89;3
153;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-88;3
154;ac:7a:56:c8:62:0f;LakeheadU;-81;3
155;ac:7a:56:c8:62:0a;;-83;3
156;ac:7a:56:c8:62:0d;;-84;3
157;ac:7a:56:c8:62:0e;LU-Events;-81;3
158;ac:7a:56:c8:62:0b;;-83;3
159;ac:7a:56:c8:62:0c;LU-Guest;-81;3
160;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-83;3
161;ac:7a:56:c8:62:07;eduroam;-82;3
162;a4:6c:2a:d4:bf:1f;LU-Guest;-52;3
163;a4:6c:2a:d4:bf:1d;eduroam;-52;3
164;a4:6c:2a:d4:bf:1e;LakeheadU;-52;3
165;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-53;3
166;a4:6c:2a:d4:bf:1c;LU-Events;-54;3
167;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-85;3
168;00:42:68:59:8b:f4;Free Tbaytel WiFi;-87;3
169;80:e0:1d:e6:79:df;LU-Guest;-84;3
170;80:e0:1d:e6:79:dd;eduroam;-85;3
171;80:e0:1d:e6:79:dc;LU-Events;-85;3
172;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-87;3
173;80:e0:1d:ee:3f:6d;LU-Events;-87;3
174;80:e0:1d:ee:3f:6e;LU-Guest;-88;3
175;aa:53:22:40:4e:05;NOSMConnect;-93;3
176;82:f2:e0:d1:f9:74;portthru;-91;3
177;a6:53:22:40:4e:05;eduroam;-93;3
178;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-51;3
179;a4:6c:2a:d4:bf:12;eduroam;-51;3
180;a4:6c:2a:d4:bf:13;LU-Events;-51;3
181;a4:6c:2a:d4:bf:10;LU-Guest;-52;3
182;a4:6c:2a:d4:bf:11;LakeheadU;-51;3
183;a2:53:22:40:4e:05;NOSMSecure;-92;4
184;a6:53:22:40:4f:7a;eduroam;-87;4
185;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-83;4
186;80:e0:1d:ee:40:53;LU-Events;-88;4
187;a4:6c:2a:d4:ba:53;LU-Events;-81;4
188;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-80;4
189;a4:6c:2a:d4:ba:50;LU-Guest;-81;4
190;ac:7a:56:c8:62:0f;LakeheadU;-84;4
191;ac:7a:56:c8:62:0d;;-84;4
192;ac:7a:56:c8:62:0e;LU-Events;-84;4
193;ac:7a:56:c8:62:0b;;-84;4
194;ac:7a:56:c8:62:0c;LU-Guest;-84;4
195;ac:7a:56:c8:62:00;LakeheadU;-81;4
196;ac:7a:56:c8:62:03;LU-Guest;-80;4
197;00:42:68:59:8b:ff;LU-Guest;-87;4
198;00:42:68:59:8b:fc;LU-Events;-86;4
199;00:42:68:59:8b:fb;Free Tbaytel WiFi;-87;4
200;00:42:68:59:8b:fe;LakeheadU;-88;4
201;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-77;4
